title,price,rooms,area,parking,bathrooms,tax,condominium_fee,link,city,neighborhood
"Apartamento - R Saldanha Marinho, 560 - Centro - Curitiba - PR",1300,2.0,56.0,1.0,1.0,85.0,250.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-r-saldanha-marinho-560-centro-curitiba-pr-1330370930,Curitiba,Centro
Alugo quarto no Bigorrilho,1150,3.0,,,3.0,,,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/alugo-quarto-no-bigorrilho-1330368513,Curitiba,Bigorrilho
Imóvel para aluguel com 25 metros quadrados com 1 quarto em Centro - Curitiba - PR,2000,1.0,25.0,1.0,1.0,,375.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/imovel-para-aluguel-com-25-metros-quadrados-com-1-quarto-em-centro-curitiba-pr-1330365956,Curitiba,Centro
Aluguel de apartamento,900,2.0,45.0,,1.0,30.0,30.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/aluguel-de-apartamento-1330358303,Piraquara,Guarituba
Apartamento próximo ao centro,1500,2.0,48.0,1.0,1.0,,,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-proximo-ao-centro-1330339584,São José dos Pinhais,Colônia Rio Grande
Apartamento de 3 quartos no bairro Campina do Siqueira,3600,3.0,180.0,1.0,2.0,248.0,140.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-de-3-quartos-no-bairro-campina-do-siqueira-1330336469,Curitiba,Campina do Siqueira
Studio / Kitnet,1040,1.0,18.0,,1.0,,,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/studio--kitnet-1188093170,Curitiba,Hauer
Imóvel para aluguel com 60 metros quadrados com 2 quartos em Monza - Colombo - PR,1200,2.0,60.0,,1.0,500.0,350.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/imovel-para-aluguel-com-60-metros-quadrados-com-2-quartos-em-monza-colombo-pr-1330333393,Colombo,Monza
Imóvel para aluguel tem 125 metros quadrados com 2 quartos em Centro - Curitiba - PR,3000,2.0,125.0,,2.0,1000.0,,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/imovel-para-aluguel-tem-125-metros-quadrados-com-2-quartos-em-centro-curitiba-pr-1330332078,Curitiba,Centro
REF 0418L/Sobrado/Condomínio/Boqueirão/Locação2900,2900,1.0,120.0,1.0,1.0,97.0,100.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/ref-0418l-sobrado-condominio-boqueirao-locacao2900-1330321366,Curitiba,Boqueirão
Aluguel de Apartamento com 2 Quartos,1000,2.0,,,1.0,,,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/aluguel-de-apartamento-com-2-quartos-1332589707,Almirante Tamandaré,Jardim Campo Verde
"CASA COM 3 QUARTOS E DUAS GARAGENS, COM 69 m² EM São José dos Pinhais",1100,3.0,69.0,2.0,1.0,45.0,,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/casa-com-3-quartos-e-duas-garagens-com-69-m-em-sao-jose-dos-pinhais-1330315658,São José dos Pinhais,Campo Largo da Roseira
Apto mobiliado para alugar centro de Curitiba,1400,1.0,30.0,,1.0,,600.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apto-mobiliado-para-alugar-centro-de-curitiba-1330305984,Curitiba,Centro
Aluguel Apartamento - Campo Santana,1400,2.0,38.0,1.0,1.0,,,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/aluguel-apartamento-campo-santana-1330299916,Curitiba,Campo de Santana
Apartamento Studio Primeira Locação.,2125,1.0,22.0,,1.0,167.0,420.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-studio-primeira-locacao-1330259612,Curitiba,Centro
"Studio para Alugar no Edifício Lifespace Curitiba, 30 m², R$ 2.500,00, Centro, Curitiba/PR",2500,1.0,30.0,,1.0,120.0,430.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/studio-para-alugar-no-edificio-lifespace-curitiba-30-m-r-2-500-00-centro-curitiba-pr-1330259523,Curitiba,Centro
Apartamento para alugar no bairro Bigorrilho - Curitiba/PR,3120,3.0,78.0,1.0,2.0,162.0,650.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-para-alugar-no-bairro-bigorrilho-curitiba-pr-1330259494,Curitiba,Bigorrilho
Alugo apartamento no Bigorrilho,2900,3.0,154.0,1.0,2.0,,1070.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/alugo-apartamento-no-bigorrilho-1332464678,Curitiba,Bigorrilho
Aluga-se excelente apartamento no Tingui,1600,2.0,70.0,1.0,1.0,,350.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/aluga-se-excelente-apartamento-no-tingui-1330204236,Curitiba,Tingui
Kitinet Sta Candida p/diária prox Havan(mobiliada),120,1.0,30.0,1.0,1.0,1.0,1.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/kitinet-sta-candida-p-diaria-prox-havan-mobiliada-1330198886,Curitiba,Santa Cândida
Kitnet mobiliada 4 pçs Sta Candida prox Havan c/ garagem,1500,1.0,30.0,1.0,1.0,20.0,1.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/kitnet-mobiliada-4-pcs-sta-candida-prox-havan-c-garagem-1330192332,Curitiba,Santa Cândida
Kitnet em Pontal do Paraná Praia de Leste a uma quadra do mar,650,1.0,35.0,,1.0,,,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/kitnet-em-pontal-do-parana-praia-de-leste-a-uma-quadra-do-mar-1326901244,Pontal do Paraná,N/A
Apartamento tatuquara,1000,2.0,42.0,1.0,1.0,,370.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-tatuquara-1332379473,Curitiba,Campo de Santana
Apto temporário perto do HC,1000,1.0,33.0,,1.0,,,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apto-temporario-perto-do-hc-1332369517,Curitiba,Centro
Lindo Apartamento no Santa Cândida,1368,2.0,45.0,1.0,1.0,300.0,,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/lindo-apartamento-no-santa-candida-1330161883,Curitiba,Santa Cândida
"Alugo Apto no Caiuá "" CIC"" .",1300,2.0,48.0,1.0,1.0,,,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/alugo-apto-no-caiua-cic-1330153480,Curitiba,Cidade Industrial
Apartamento para locação no uberaba,1600,2.0,37.0,,1.0,,,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-para-locacao-no-uberaba-1330149895,Curitiba,Uberaba
Imóvel para aluguel e venda tem 127 metros quadrados com 4 quartos em São Lourenço - Curit,3600,4.0,127.0,1.0,3.0,130.0,600.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/imovel-para-aluguel-e-venda-tem-127-metros-quadrados-com-4-quartos-em-sao-lourenco-curit-1330133846,Curitiba,São Lourenço
"Apartamento com 77m² 3 quartos, para aluguel, no bairro Cidade Jardim em São José dos Pinh",1500,3.0,77.0,1.0,2.0,799.0,472.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-com-77m-3-quartos-para-aluguel-no-bairro-cidade-jardim-em-sao-jose-dos-pinh-1330122560,São José dos Pinhais,Cidade Jardim
"Apartamento com 42,64m² 2 quartos, para aluguel, no bairro Afonso Pena em São José dos Pin",1100,2.0,43.0,1.0,1.0,286.0,376.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-com-42-64m-2-quartos-para-aluguel-no-bairro-afonso-pena-em-sao-jose-dos-pin-1330119186,São José dos Pinhais,Afonso Pena
"Apartamento com 43,56m² 2 quartos, para aluguel, no bairro Costeira em São José dos Pinhai",1300,2.0,44.0,1.0,3.0,548.0,404.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-com-43-56m-2-quartos-para-aluguel-no-bairro-costeira-em-sao-jose-dos-pinhai-1330119047,São José dos Pinhais,Costeira
"Apartamento com 43,82m² 2 quartos, para aluguel, no bairro Parque da Fonte em São José dos",1100,2.0,44.0,1.0,1.0,263.0,320.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-com-43-82m-2-quartos-para-aluguel-no-bairro-parque-da-fonte-em-sao-jose-dos-1330118973,São José dos Pinhais,Parque da Fonte
Apartamento para locar direto com proprietário,1400,2.0,40.0,1.0,1.0,67.0,400.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-para-locar-direto-com-proprietario-1330104779,Almirante Tamandaré,Jardim Santo Antônio
CASA NOVO MUNDO (2 QUARTOS),1450,2.0,,,1.0,,,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/casa-novo-mundo-2-quartos-1328217013,Curitiba,Novo Mundo
"Apartamento com 4 dormitórios para alugar, 218 m² por R$ 9.500,62/mês - Bigorrilho - Curit",7000,4.0,219.0,3.0,4.0,5047.0,2080.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-com-4-dormitorios-para-alugar-218-m-por-r-9-500-62-mes-bigorrilho-curit-1330062923,Curitiba,Bigorrilho
APARTAMENTO 01 DORMITÓRIO MOBILIADO PARA LOCAÇÃO,1400,1.0,29.0,,1.0,50.0,320.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-01-dormitorio-mobiliado-para-locacao-1330062255,Curitiba,Água Verde
"Apartamento de 2 quartos no Campo Pequeno, 52m² - AP0511-AND",1200,2.0,52.0,1.0,1.0,87.0,133.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-de-2-quartos-no-campo-pequeno-52m-ap0511-and-1330061367,Colombo,Campo Pequeno
"Apartamento com 3 dormitórios para alugar, 90 m² por R$ 3.280,00/mês - Água Verde - Curiti",3000,3.0,90.0,1.0,2.0,3360.0,,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-com-3-dormitorios-para-alugar-90-m-por-r-3-280-00-mes-agua-verde-curiti-1330060885,Curitiba,Água Verde
Excelente localização no Juveve,2000,2.0,54.0,1.0,1.0,88.0,300.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/excelente-localizacao-no-juveve-1330053055,Curitiba,Juvevê
Apartamento 2 Quartos no Juvevê,6250,2.0,116.0,2.0,2.0,2760.0,850.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-2-quartos-no-juveve-1330040440,Curitiba,Juvevê
"Apartamento com 3 dormitórios para alugar, 110 m² por R$ 7.600/mês - Cabral - Curitiba/PR",7500,3.0,110.0,2.0,2.0,4200.0,1000.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-com-3-dormitorios-para-alugar-110-m-por-r-7-600-mes-cabral-curitiba-pr-1330031269,Curitiba,Cabral
"Apartamento com 1 dormitório para alugar, 45 m² por R$ 3.000,02/mês - Mercês - Curitiba/PR",3000,1.0,45.0,1.0,1.0,,,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-com-1-dormitorio-para-alugar-45-m-por-r-3-000-02-mes-merces-curitiba-pr-1330031086,Curitiba,Mercês
Excelente Studio para locação localizado no Bigorrilho com 45M²,2500,1.0,45.0,,1.0,1320.0,700.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/excelente-studio-para-locacao-localizado-no-bigorrilho-com-45m-1330031078,Curitiba,Bigorrilho
"Apartamento com 1 dormitório para alugar, 25 m² por R$ 2.450/mês - Ecoville - Curitiba/PR",2450,1.0,21.0,,1.0,540.0,400.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-com-1-dormitorio-para-alugar-25-m-por-r-2-450-mes-ecoville-curitiba-pr-1330030431,Curitiba,Mossunguê
Apartamento Promocao relampago Mobiliado alugar curitiba e só trazer malas,2499,1.0,43.0,1.0,1.0,,,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-promocao-relampago-mobiliado-alugar-curitiba-e-so-trazer-malas-1322727157,Curitiba,Boqueirão
Apartamento 2 dormitórios mobiliado !,1800,2.0,52.0,1.0,1.0,550.0,300.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-2-dormitorios-mobiliado-1330023763,Curitiba,Bairro Alto
"Apartamento para Locação 3 quartos, 1 suíte, 1 vaga de garagem na Batel",2800,3.0,91.0,1.0,3.0,1836.0,1000.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-para-locacao-3-quartos-1-suite-1-vaga-de-garagem-na-batel-1329998872,Curitiba,Água Verde
Apartamento vale verde,1100,2.0,479.0,1.0,1.0,,1100000.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-vale-verde-1329996134,Campo Largo,Cristo Rei
"Apartamento com 2 dormitórios para alugar, 93 m² por R$ 4.300,00/mês - Santo Inácio - Curi",4300,2.0,93.0,2.0,2.0,105.0,360.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-com-2-dormitorios-para-alugar-93-m-por-r-4-300-00-mes-santo-inacio-curi-1329992147,Curitiba,Santo Inácio
"Studio novo em condomínio clube, mobiliado,decorado e equipado, alto padrão , Centro Curit",2490,1.0,30.0,,1.0,55.0,395.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/studio-novo-em-condominio-clube-mobiliado-decorado-e-equipado-alto-padrao-centro-curit-1329991913,Curitiba,Centro
Studio mobiliado próximo Shopping Curitiba,1800,1.0,36.0,1.0,1.0,73.0,529.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/studio-mobiliado-proximo-shopping-curitiba-1329991778,Curitiba,Centro
Apartamento 02 quartos - Aristocrata,1700,2.0,58.0,1.0,1.0,50.0,500.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-02-quartos-aristocrata-1329976950,São José dos Pinhais,Aristocrata
Alugo Apto mobiliado no centro de Pinhais.,1800,1.0,30.0,1.0,1.0,,,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/alugo-apto-mobiliado-no-centro-de-pinhais-1328114974,Pinhais,Centro
Alugo apartamento no campo do Santana,1200,2.0,,,1.0,,,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/alugo-apartamento-no-campo-do-santana-1329945109,Curitiba,Cajuru
Apartamento no Afonso Pena com 47 m² e 1 quarto,1050,1.0,32.0,,1.0,,,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-no-afonso-pena-com-47-m-e-1-quarto-1329943049,São José dos Pinhais,Parque da Fonte
"Apartamento para aluguel, 3 quartos, 1 suíte, 1 vaga, Água Verde - Curitiba/PR",4100,3.0,95.0,1.0,2.0,193.0,776.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-para-aluguel-3-quartos-1-suite-1-vaga-agua-verde-curitiba-pr-1329919704,Curitiba,Água Verde
"Apartamento com 47,81m² 2 quartos, para aluguel, no bairro Parque da Fonte em São José dos",1600,2.0,48.0,1.0,1.0,335.0,250.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-com-47-81m-2-quartos-para-aluguel-no-bairro-parque-da-fonte-em-sao-jose-dos-1329919216,São José dos Pinhais,Parque da Fonte
"Apartamento para aluguel, 1 quarto, Centro - Curitiba/PR",950,1.0,48.0,,1.0,48.0,551.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-para-aluguel-1-quarto-centro-curitiba-pr-1329916092,Curitiba,Centro
Apartamento para locação em Shangrilá.,1000,2.0,69.0,1.0,1.0,12.0,1.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-para-locacao-em-shangrila-1329899257,Pontal do Paraná,N/A
Muito conforto e sofisticação para você,6900,1.0,71.0,2.0,2.0,226.0,595.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/muito-conforto-e-sofisticacao-para-voce-1329891674,Curitiba,Batel
Alugo apartamento com 2 quartos,1650,2.0,70.0,1.0,1.0,,,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/alugo-apartamento-com-2-quartos-1329875857,Curitiba,Barreirinha
Flat 40m² Mobiliado - INK Champagnat,2000,1.0,40.0,,1.0,10.0,400.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/flat-40m-mobiliado-ink-champagnat-1329870722,Curitiba,Campina do Siqueira
"Studio com 1 dormitório para alugar, 30 m² por R$ 2.300,00/mês - Juvevê - Curitiba/PR",2300,1.0,30.0,,1.0,,,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/studio-com-1-dormitorio-para-alugar-30-m-por-r-2-300-00-mes-juveve-curitiba-pr-1329864989,Curitiba,Juvevê
APARTAMENTO GARDEN MOBILIADO PRIMEIRA LOCAÇÃO Apartamento garden mobiliado primeira locaçã,3600,2.0,67.0,3.0,5.0,145.0,550.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-garden-mobiliado-primeira-locacao-apartamento-garden-mobiliado-primeira-locaca-1329859457,Curitiba,Santa Quitéria
COBERTURA NOVA COM 6 VAGAS DE GARAGEM LIVRES! Cobertura nova e 6 vagas de garagem livres -,12500,4.0,439.0,5.0,5.0,1280.0,3000.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/cobertura-nova-com-6-vagas-de-garagem-livres-cobertura-nova-e-6-vagas-de-garagem-livres-1329859459,Curitiba,Santa Quitéria
Locação de Apartamentos / Padrão na cidade de Pinhais,1150,2.0,46.0,1.0,1.0,950.0,350.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/locacao-de-apartamentos-padrao-na-cidade-de-pinhais-1329856276,Pinhais,Weissópolis
"Apartamento com 2 quartos para alugar por R$ 1800.00, 66.40 m2 - TARUMA - CURITIBA/PR",1800,2.0,66.0,1.0,1.0,84.0,400.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-com-2-quartos-para-alugar-por-r-1800-00-66-40-m2-taruma-curitiba-pr-1329836427,Curitiba,Tarumã
"Apartamento com 2 quartos para alugar por R$ 1400.00, 55.00 m2 - CENTRO - CURITIBA/PR",1400,2.0,55.0,,1.0,68.0,461.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-com-2-quartos-para-alugar-por-r-1400-00-55-00-m2-centro-curitiba-pr-1329836325,Curitiba,Centro
"Apartamento com 2 dormitórios para alugar, 72 m² por R$ 3.191,33/mês - Portão - Curitiba/P",2200,2.0,73.0,1.0,2.0,1456.0,870.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-com-2-dormitorios-para-alugar-72-m-por-r-3-191-33-mes-portao-curitiba-p-1329835813,Curitiba,Portão
"Apartamento Semimobiliado de Alto Padrão para aluguel no Vila Izabel, Curitiba - AP9409",14000,3.0,193.0,3.0,5.0,773.0,1617.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-semimobiliado-de-alto-padrao-para-aluguel-no-vila-izabel-curitiba-ap9409-1329827434,Curitiba,Vila Izabel
"Apartamento com 4 quartos para alugar por R$ 7000.00, 362.38 m2 - BATEL - CURITIBA/PR",7000,4.0,362.0,3.0,4.0,1042.0,2323.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-com-4-quartos-para-alugar-por-r-7000-00-362-38-m2-batel-curitiba-pr-1329826405,Curitiba,Água Verde
"Apartamento com 1 quarto para alugar por R$ 1450.00, 35.00 m2 - PORTAO - CURITIBA/PR",1450,1.0,35.0,1.0,1.0,71.0,480.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-com-1-quarto-para-alugar-por-r-1450-00-35-00-m2-portao-curitiba-pr-1329824814,Curitiba,Portão
"Apartamento com 1 dormitório para alugar, 50 m² por R$ 3.861,36/mês - Alto da Rua XV - Cur",3390,1.0,50.0,1.0,1.0,856.0,400.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-com-1-dormitorio-para-alugar-50-m-por-r-3-861-36-mes-alto-da-rua-xv-cur-1329818551,Curitiba,Alto da Rua XV
APARTAMENTO 3 QUARTOS (SENDO UMA SUÍTE) - GARAGEM COBERTA / INDIVIDUAL - ED. ANA CAROLINA,2400,3.0,80.0,1.0,3.0,122.0,780.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-3-quartos-sendo-uma-suite-garagem-coberta-individual-ed-ana-carolina-1329818232,Curitiba,Portão
"Apartamento com 3 dormitórios para alugar, 76 m² por R$ 1.750/mês - Tingui - Curitiba/PR",1750,3.0,76.0,1.0,1.0,804.0,415.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-com-3-dormitorios-para-alugar-76-m-por-r-1-750-mes-tingui-curitiba-pr-1329817140,Curitiba,Tingui
Ótimo Apartamento com 02 quartos e 01 vaga de garagem para locação no Bairro Cristo Rei.,1650,2.0,50.0,1.0,1.0,1052.0,530.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/otimo-apartamento-com-02-quartos-e-01-vaga-de-garagem-para-locacao-no-bairro-cristo-rei-1329808365,Curitiba,Cristo Rei
"AKG IMÓVEIS ALUGA APARTAMENTO DE 2 QUARTOS NO CENTRO DE CURITIBA, NA DR. PEDROSA, AO LADO",1550,2.0,110.0,,2.0,128.0,1007.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/akg-imoveis-aluga-apartamento-de-2-quartos-no-centro-de-curitiba-na-dr-pedrosa-ao-lado-1329806504,Curitiba,Centro
Aluga Apartamento 2 quartos com suíte no Boa Vista - Flex Accanto,2800,2.0,64.0,1.0,2.0,126.0,,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/aluga-apartamento-2-quartos-com-suite-no-boa-vista-flex-accanto-1329801629,Curitiba,Boa Vista
Apartamento de 2 quartos no bairro Cristo Rei,2300,2.0,61.0,1.0,2.0,,1154.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-de-2-quartos-no-bairro-cristo-rei-1329795808,Curitiba,Cristo Rei
Apartamento de 3 quartos no Boa Vista com 55m² - AP0510-AND,1800,3.0,55.0,,1.0,47.0,478.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-de-3-quartos-no-boa-vista-com-55m-ap0510-and-1329783197,Curitiba,Boa Vista
Sobrado 3 Quartos Boa Vista,4000,3.0,122.0,2.0,3.0,115.0,,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/sobrado-3-quartos-boa-vista-1329777169,Curitiba,Boa Vista
Estúdio No Bom Retiro,1700,1.0,31.0,1.0,1.0,76.0,360.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/estudio-no-bom-retiro-1329776744,Curitiba,Bom Retiro
A cobertura mais charmoso do bairro,4900,3.0,270.0,3.0,4.0,344.0,1477.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/a-cobertura-mais-charmoso-do-bairro-1329774372,Curitiba,Cabral
Apartamento 59m² de 02 quartos e Suite no Cajuru - Curitiba/PR,2200,2.0,58.0,,3.0,54.0,200.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-59m-de-02-quartos-e-suite-no-cajuru-curitiba-pr-1329772446,Curitiba,Cajuru
"Apartamento para Locação em Curitiba, Campo Comprido, 3 dormitórios, 1 banheiro, 1 vaga",1550,3.0,70.0,1.0,1.0,39.0,350.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-para-locacao-em-curitiba-campo-comprido-3-dormitorios-1-banheiro-1-vaga-1329771593,Curitiba,Campo Comprido
"Apartamento para Locação em Curitiba, Batel, 2 dormitórios, 1 banheiro, 1 vaga",2200,2.0,68.0,1.0,1.0,,780.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-para-locacao-em-curitiba-batel-2-dormitorios-1-banheiro-1-vaga-1329771553,Curitiba,Batel
"Apartamento Garden para Locação em Curitiba, Santa Felicidade, 2 dormitórios, 1 banheiro,",1750,2.0,72.0,1.0,1.0,22.0,400.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-garden-para-locacao-em-curitiba-santa-felicidade-2-dormitorios-1-banheiro-1329771536,Curitiba,Santa Felicidade
"Apartamento para Locação em Curitiba, Bacacheri, 3 dormitórios, 1 suíte, 3 banheiros, 1 va",3200,3.0,80.0,1.0,3.0,90.0,450.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-para-locacao-em-curitiba-bacacheri-3-dormitorios-1-suite-3-banheiros-1-va-1329771526,Curitiba,Bacacheri
COBERTURA SUPER EXCLUSIVA NO MELHOR DO ECOVILLE,13800,4.0,286.0,3.0,5.0,575.0,3499.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/cobertura-super-exclusiva-no-melhor-do-ecoville-1329771391,Curitiba,Mossunguê
STUDIO MOBILIÁDO DISPONÍVEL PARA LOCAÇÃO,2600,1.0,30.0,,1.0,100.0,300.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/studio-mobiliado-disponivel-para-locacao-1329771383,Curitiba,Rebouças
"Apartamento 2 Dormitórios, 71 m², R$ 2.300 - Santa Felicidade, Curitiba, PR",2300,2.0,71.0,1.0,2.0,62.0,420.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-2-dormitorios-71-m-r-2-300-santa-felicidade-curitiba-pr-1329749384,Curitiba,Santa Felicidade
"Apartamento semi mobiliado, 03 dormitórios, 02 Vagas, Sauna, Batel, Curitiba.",6000,3.0,255.0,2.0,4.0,,,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-semi-mobiliado-03-dormitorios-02-vagas-sauna-batel-curitiba-1329747084,Curitiba,Batel
"Apartamento mobiliado, 03 quartos, 02 vagas, Churrasqueira à carvão, Batel. Curitiba.",6700,3.0,143.0,2.0,3.0,,,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-mobiliado-03-quartos-02-vagas-churrasqueira-a-carvao-batel-curitiba-1329747083,Curitiba,Bigorrilho
"Apartamento com 2 quartos, churrasqueira, condomínio clube no bairro aristocrata - São Jos",1500,2.0,55.0,1.0,1.0,,398.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-com-2-quartos-churrasqueira-condominio-clube-no-bairro-aristocrata-sao-jos-1329745550,São José dos Pinhais,Aristocrata
"Apartamento Studio Novo, para locação no bairro Ecoville Ed. Eco Smart",1900,1.0,22.0,,1.0,47.0,350.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-studio-novo-para-locacao-no-bairro-ecoville-ed-eco-smart-1329745384,Curitiba,Mossunguê
Apto Campo de Santana Cond Novara 2 Dormitórios,1190,2.0,41.0,1.0,1.0,70.0,490.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apto-campo-de-santana-cond-novara-2-dormitorios-1329736019,Curitiba,Campo de Santana
